Year	Ranking	Game 	TotalMoney	TotalPlayers	TotalTournaments	Genre
2015	1	Dota 2	31018392.86	979	220	MOBA
2015	2	League of Legends	7697750.9	1882	302	MOBA
2015	3	Counter-Strike: Global Offensive	6190730.92	2961	701	FPS
2015	4	Smite	3709088.73	252	42	MOBA
2015	5	StarCraft II	2816651.11	494	671	MOBA
2014	1	Dota 2	16583481.09	663	142	MOBA
2014	2	League of Legends	8052833	1597	426	MOBA
2014	3	StarCraft II	3434648.98	474	582	STRATEGY
2014	4	Counter-Strike: Global Offensive	1957095.74	1352	275	FPS
2014	5	Call of Duty: Ghosts	1500542.08	128	59	FPS
2013	1	League of Legends	6175092.61	1149	359	MOBA
2013	2	Dota 2	4490461.8	372	108	MOBA
2013	3	StarCraft II	3806958.15	584	477	STRATEGY
2013	4	Call of Duty: Black Ops 2	1418345.35	141	45	FPS
2013	5	Counter-Strike: Global Offensive	1198210.74	915	191	FPS
2012	1	League of Legends	4244985.76	907	384	MOBA
2012	2	StarCraft II	4168120.79	659	643	STRATEGY
2012	3	Dota 2	2058193.31	177	77	MOBA
2012	4	Counter-Strike	472040.95	363	41	FPS
2012	5	Heroes of Newerth	324062.28	307	57	MOBA
2011	1	StarCraft II	3156824.66	502	768	STRATEGY
2011	2	Dota 2	1662268.08	87	5	MOBA
2011	3	Call of Duty: Modern Warfare 3	1003515.34	37	4	FPS
2011	4	Counter-Strike	794622.02	504	58	FPS
2011	5	Halo: Reach	593521.98	86	15	FPS
2010	1	Counter-Strike	1248144.09	645	79	FPS
2010	2	Halo 3	798113.79	85	9	FPS
2010	3	StarCraft II	760293.2	289	232	STRATEGY
2010	4	StarCraft: Brood War	624599.64	96	14	STRATEGY
2010	5	WarCraft III	323161.35	73	78	STRATEGY
2009	1	Counter-Strike	1107199.9	466	76	FPS
2009	2	StarCraft: Brood War	704645.92	134	48	STRATEGY
2009	3	WarCraft III	379148.62	71	88	STRATEGY
2009	4	World of WarCraft	350138.91	68	12	RPG
2009	5	Halo 3	234900.71	76	7	FPS
2008	1	Counter-Strike	1306715.81	423	67	FPS
2008	2	StarCraft: Brood War	973984.45	187	25	STRATEGY
2008	3	Counter-Strike: Source	698524.23	232	33	FPS
2008	4	Halo 3	688924.67	72	11	FPS
2008	5	WarCraft III	638454.51	86	99	STRATEGY
2007	1	Counter-Strike	1137261.31	404	44	FPS
2007	2	StarCraft: Brood War	1049400.8	101	25	STRATEGY
2007	3	WarCraft III	766511.93	86	65	STRATEGY
2007	4	Halo 2	673462.47	61	14	FPS
2007	5	Counter-Strike: Source	653090.56	181	22	FPS
2006	1	Counter-Strike	1623668.45	562	65	FPS
2006	2	StarCraft: Brood War	727919.69	131	36	STRATEGY
2006	3	Halo 2	574050	53	17	FPS
2006	4	WarCraft III	453349.35	68	57	STRATEGY
2006	5	Quake 4	357689	58	34	FPS
2005	1	Counter-Strike	1063897.77	485	56	FPS
2005	2	Painkiller	960000	42	10	FPS
2005	3	StarCraft: Brood War	588759.49	85	27	STRATEGY
2005	4	WarCraft III	356848.79	60	30	STRATEGY
2005	5	Halo 2	197850	65	38	FPS
